index;Belastung;Titel;Tooltip;Schwellenwert (50%ige Risikoerhöhung);Leichte Risikoerhöhung/ Optimierunsgbedarf ;Niedrigere Werte/Höhere Werte (Ressourcen);invert
1;Vollständigkeit der Aufgabe;Arbeitsinhalt;Ganzheitlichkeit der Arbeitstätigkeit. Beteiligung an Planung, Ausführung und Kontrolle der Tätigkeit/Produkte;</=1;3,1102;3,1102;1
2;Handlungsspielraum;;Der individuelle Einfluss auf die Arbeit und den Arbeitsablauf.;<1.9;3,016;3,016;1
3;Variabilität (Abwechslungsreichtum);;Ausmaß abwechselnder Anforderungen/Tätigkeiten und der Notwendigkeit verschiedene Fähigkeiten zu nutzen.;</=1;2,9035;2,9035;1
4;Informationsmängel;;Die für die Arbeit notwendigen Informationen sind nur schwer oder umständlich zu beschaffen oder schlecht dargeboten.;>3.4;2,6064;2,6064;0
5;Informationsüberflutung;;Art, Umfang oder Darbietung der Informationen sind ungünstig gestaltet (Qualitativ und Quantitativ). ;>3.1;2,2987;2,2987;0
6;Klarheit der Kompetenzen und Verantwortlichkeiten;;Unklarheit über Prioritäten und Befugnisse sowie wechselnde oder unklare Anweisungen.;>2.8;2,0832;2,0832;0
7;Qualifikationsmängel;;Das Leistungsvermögen des Mitarbeiters entspricht nicht den Tätigkeitsanforderungen.;>2.8;2,0613;2,0613;0
8;Qualifikationsunterforderung;;Die Tätigkeit entspricht nicht dem Leistungsvermögen des Mitarbeiters.;>3.7;1,9655;1,9655;0
9;Soziale und Emotionale Belastungen;;Emotional belastende Arbeitssituationen und unangemessene, unangenehme Kundenkontakte.;>2.9;2,1489;2,1489;0
10;Emotionsarbeit;;Notwendigkeit. die eigenen Gefühle während der Arbeit zu verbergen oder abweichend darzustellen.;>3.1;2,2906;2,2906;0
11;Belastende Arbeitszeit;Arbeitsorganisation;Variierende, ungünstige Arbeitszeit oder schlecht gestaltete Schichtarbeit.;>3.1;1,8295;1,8295;0
12;Entgrenzte Arbeitszeiten;;Überschreitung der eigentlichen Arbeitszeit und Notwendigkeit der Erreichbarkeit außerhalb der Arbeitszeit.;>3.1;2,214;2,214;0
13;Zeitdruck/hohe Arbeitsintensität;;Wieviel Arbeit (Quantität), auf welche Art und Weise (Qualität), in welcher Zeit (Arbeitstempo), geleistet werden muss.;>3.2;2,3968;2,3968;0
14;Unterbrechungen/Multitasking;;Multitasking und Häufigkeit von Unterbrechungen bei der Arbeit.;>3.7;2,9388;2,9388;0
15;Kommunikation/Kooperation;;Grad der Möglichkeit zum direkten persönlichen Austausch unter Kollegen.;>2.7;1,6655;1,6655;0
16;Soziale Unterstützung;Soziale Beziehungen;Offenheit des Austausches und der Hilfe unter Kollegen;<2.2;3,0542;3,0542;1
17;Soziale Drucksituationen;;Konflikte, Streitigkeiten und unangemessene Kritik unter Kollegen;<2.2;2,945;2,945;0
18;Soziale Unterstützung durch Führungskräfte;;Verlässliche Hilfe und Bereitschaft der Führungskraft bei Problemen zu unterstützen.;<1.9;2,7098;2,7098;1
19;Feedback und Anerkennung;;Die Rückmeldung zur und Würdigung der Arbeitsleistung.;>2.5;1,8002;1,8002;1
20;Arbeitsumgebung und Arbeitsplatzgestaltung;Arbeitsumgebung;Belastungen durch äußere Tätigkeitsbedingungen.;>2.5;1,8038;1,8038;0
